	est.beta	est.upper	est.lower	alpha	beta
114	2.035404365	2.1791472	1.89166153	1.00E-03	paste(beta[2])
115	-0.540313851	-0.161165831	-0.91946187	1.00E-03	paste(beta[3])
116	0.020970922	0.430588685	-0.38864684	1.00E-03	paste(beta[4])
117	5.970523564	6.386893004	5.55415412	1.00E-03	paste(beta[5])
118	-0.015590624	-0.003447394	-0.02773385	1.00E-03	paste(beta[6])
119	-2.652036537	-2.130601036	-3.17347204	1.00E-03	paste(beta[7])
120	-0.649452597	-0.108940281	-1.18996491	1.00E-03	paste(beta[8])
121	10.52198658	10.8107084	10.23326477	5.00E-03	paste(beta[1])
122	2.068700806	2.211187026	1.92621459	5.00E-03	paste(beta[2])
123	-0.538986307	-0.160027294	-0.91794532	5.00E-03	paste(beta[3])
124	0.041010576	0.447099422	-0.36507827	5.00E-03	paste(beta[4])
125	5.919796402	6.333936483	5.50565632	5.00E-03	paste(beta[5])
126	-0.015836106	-0.003714219	-0.02795799	5.00E-03	paste(beta[6])
127	-2.686035671	-2.165781296	-3.20629005	5.00E-03	paste(beta[7])
128	-0.658920007	-0.120623299	-1.19721672	5.00E-03	paste(beta[8])
129	10.48916131	10.77847933	10.1998433	1.00E-02	paste(beta[1])
130	2.063899698	2.208952963	1.91884643	1.00E-02	paste(beta[2])
131	-0.543895051	-0.161509377	-0.92628072	1.00E-02	paste(beta[3])
132	0.011066571	0.418429788	-0.39629665	1.00E-02	paste(beta[4])
133	5.943579417	6.358198966	5.52895987	1.00E-02	paste(beta[5])
134	-0.015395747	-0.003271201	-0.02752029	1.00E-02	paste(beta[6])
135	-2.678089425	-2.159334521	-3.19684433	1.00E-02	paste(beta[7])
136	-0.656423814	-0.118475211	-1.19437242	1.00E-02	paste(beta[8])
137	10.50342664	10.7938404	10.21301288	5.00E-02	paste(beta[1])
138	2.032812158	2.17565006	1.88997426	5.00E-02	paste(beta[2])
139	-0.522542541	-0.140347782	-0.9047373	5.00E-02	paste(beta[3])
140	0.033125702	0.441340497	-0.37508909	5.00E-02	paste(beta[4])
141	5.925099452	6.341136028	5.50906288	5.00E-02	paste(beta[5])
142	-0.016393475	-0.004223881	-0.02856307	5.00E-02	paste(beta[6])
143	-2.65091686	-2.131158051	-3.17067567	5.00E-02	paste(beta[7])
144	-0.673925503	-0.134692298	-1.21315871	5.00E-02	paste(beta[8])
145	10.51365976	10.80338203	10.22393748	1.00E-01	paste(beta[1])
146	2.049546137	2.19221189	1.90688038	1.00E-01	paste(beta[2])
147	-0.552082502	-0.172755953	-0.93140905	1.00E-01	paste(beta[3])
148	0.060646689	0.467048187	-0.34575481	1.00E-01	paste(beta[4])
149	5.942209783	6.357640108	5.52677946	1.00E-01	paste(beta[5])
150	-0.016206852	-0.004114237	-0.02829947	1.00E-01	paste(beta[6])
151	-2.665081468	-2.145380099	-3.18478284	1.00E-01	paste(beta[7])
152	-0.643231448	-0.104320991	-1.1821419	1.00E-01	paste(beta[8])
153	10.49138576	10.78140019	10.20137133	5.00E-01	paste(beta[1])
154	2.070515584	2.21732436	1.92370681	5.00E-01	paste(beta[2])
155	-0.549066049	-0.165034024	-0.93309807	5.00E-01	paste(beta[3])
156	-0.000613161	0.40613424	-0.40736056	5.00E-01	paste(beta[4])
